"UID";"address";"agent_name";"home_div_type";"bed";"bath";"play ground";"swimming";"acre_lot";"City";"State";"Zip";"house_size";"listing _date";"listing price";"sold _date";"sold_price";"status";"population";"Brokerage Firm";"commission_in_percentage";"days_required_to_sell";"commission_in_amount"
"0BAuFfB9Ur";"5587 Main St";"Patricia Johnson";"Rental";4;1;"Y";"N";0.384;"Akron";"Ohio";45216;965;"2020-01-26";410862;"2020-08-28";484985;"Sold";18840;"High Value LLC";8.0;215;38799
"0bB8LcBhAE";"678 Maple Ave";"Michael Anderson";"Commercial";5;2;"N";"Y";1.03;"Akron";"Ohio";45206;396;"2020-08-15";267254;"2020-12-13";91278;"Pending";20548;"True Value LLC";5.0;120;0
"0bii6wuQnQ";"7986 Main St";"Jennifer Anderson";"Commercial";4;0;"Y";"N";4.479;"Toledo";"Ohio";45209;1537;"2020-03-12";211726;"2020-11-09";492414;"Sold";16146;"M&M Brokerage";5.0;242;24621
"0Cbs5Y7mOC";"2272 Oak St";"Linda Brown";"";3;2;"Y";"N";7.975;"Columbus";"Ohio";45233;2008;"2020-01-24";149016;"2020-05-11";23152;"Pending";18847;"Richa & Sons";5.0;108;0
"0CC5x08dpg";"682 Pine Ln";"Robert Taylor";"";3;2;"N";"Y";7.791;"Akron";"Ohio";45215;2374;"2020-08-20";246549;"2020-01-02";481527;"Sold";16148;"Willy Nilly Brokerage";5.0;231;24076
"0cdq3mARx8";"1142 Elm St";"Elizabeth Brown";"Commercial";5;2;"N";"Y";7.648;"Toledo";"Ohio";45213;654;"2020-01-17";68837;"2020-03-28";186148;"Cancel";18839;"Willam Reality";5.0;71;0
"0cj1UMhTyS";"1457 Elm St";"Linda Wilson";"Land";2;3;"N";"N";1.934;"Akron";"Ohio";45223;595;"2020-11-02";63547;"2020-03-29";21110;"Expire";14132;"True Value LLC";4.0;218;0
"0Cvlc4MWvO";"687 Oak St";"William Wilson";"Land";4;0;"Y";"Y";2.892;"Cincinnati";"Ohio";45219;1665;"2020-05-09";256976;"2020-07-26";181777;"Pending";18841;"Willy Nilly Brokerage";4.0;78;0
"0cYY6LHwyy";"9007 Sunset Blvd";"Jennifer Anderson";"";0;4;"N";"Y";6.392;"Toledo";"Ohio";45213;2272;"2021-01-01";451092;"2020-08-23";128531;"Pending";18839;"M&M Brokerage";5.0;131;0
"0CZSsJbSEq";"3500 Lakeview Dr";"Robert Smith";"";4;1;"N";"N";4.967;"Cincinnati";"Ohio";45233;1938;"2020-11-26";193039;"2020-04-03";290851;"Expire";18847;"High Value LLC";5.0;237;0
"0DLv3Z40k4";"8568 Cedar Rd";"Jennifer Smith";"Rental";2;3;"Y";"Y";9.868;"Dayton";"Ohio";45214;842;"2020-02-22";330078;"2020-02-27";492844;"Sold";18839;"M&M Brokerage";8.0;5;39428
"0ETW0tpMHu";"503 Maple Ave";"William Lee";"Residential";0;1;"Y";"N";8.455;"Dayton";"Ohio";45223;1328;"2020-06-08";469178;"2020-01-26";26622;"Pending";14132;"Willam Reality";3.2;134;0
"0fhm01fuc3";"7786 Lakeview Dr";"Linda Thomas";"Land";5;2;"Y";"N";1.305;"Cincinnati";"Ohio";45210;1608;"2020-12-09";21335;"2020-11-13";332488;"Expire";18838;"High Value LLC";4.0;26;0
"0gPE8hvovz";"9036 Oak St";"Elizabeth Lee";"Residential";0;4;"N";"N";1.852;"Akron";"Ohio";45218;150;"2020-01-16";185348;"2020-08-14";83484;"Expire";12561;"Right Value LLC";3.2;211;0
"0Gtx2be56Y";"3372 Lakeview Dr";"Elizabeth Taylor";"Rental";4;1;"Y";"Y";9.37;"Dayton";"Ohio";45203;2379;"2020-01-11";447529;"2020-11-06";177192;"Pending";18835;"Right Value LLC";8.0;300;0
"0HiLpuUPX6";"3142 Elm St";"Jennifer Taylor";"Residential";0;2;"N";"Y";6.808;"Columbus";"Ohio";45207;267;"2020-02-22";238766;"2020-08-17";497657;"Cancel";16145;"Right Value LLC";3.2;177;0
"0hS5SLJuIy";"5251 Main St";"Robert Thomas";"Commercial";2;2;"N";"N";8.315;"Toledo";"Ohio";45209;1658;"2020-11-23";204052;"2020-04-10";292608;"Cancel";16146;"M&M Brokerage";5.0;227;0
"0hVoEk5bMF";"4058 Elm St";"Patricia Thomas";"Rental";2;3;"N";"N";3.09;"Columbus";"Ohio";45209;280;"2021-01-13";449904;"2020-08-21";131394;"Expire";16146;"Right Value LLC";8.0;145;0
"0i9PuBWevV";"4266 Cedar Rd";"John Smith";"Residential";1;4;"Y";"N";9.499;"Akron";"Ohio";45221;379;"2020-01-11";298996;"2020-10-24";122708;"Expire";14132;"Right Value LLC";3.2;287;0
"0IgMqrqe2p";"3842 Sunset Blvd";"John Wilson";"";4;0;"N";"Y";4.27;"Dayton";"Ohio";45214;2364;"2020-10-21";10848;"2020-05-02";119888;"Sold";18839;"High Value LLC";5.0;172;5994
"0iSsnjz0lM";"8579 Pine Ln";"Michael Anderson";"Rental";4;1;"Y";"N";1.497;"Cincinnati";"Ohio";45233;1069;"2020-02-18";276143;"2020-06-20";341696;"Pending";18847;"True Value LLC";8.0;123;0
"0jQYQ8hC9U";"837 Cedar Rd";"James Miller";"";1;4;"N";"N";9.353;"Dayton";"Ohio";45211;692;"2020-11-29";286982;"2020-02-03";144757;"Sold";21234;"Right Value LLC";5.0;300;7238
"0k3hbutVco";"3608 Oak St";"William Lee";"Rental";0;1;"N";"Y";9.457;"Toledo";"Ohio";45202;2448;"2020-08-06";156639;"2020-07-21";334757;"Cancel";18834;"Willam Reality";8.0;16;0
"0kHsfO4LYe";"9481 Lakeview Dr";"Jennifer Davis";"Rental";1;2;"N";"N";8.461;"Toledo";"Ohio";45233;201;"2020-08-21";178886;"2020-11-05";321814;"Expire";18847;"Right Value LLC";8.0;76;0
"0KsF4gF03m";"9891 Pine Ln";"Patricia Smith";"";4;3;"N";"Y";7.217;"Akron";"Ohio";45219;545;"2020-03-30";193553;"2020-09-20";397433;"Pending";18841;"M&M Brokerage";5.0;174;0
"0LAS2EafI5";"4270 Main St";"Robert Johnson";"";2;4;"Y";"Y";6.015;"Columbus";"Ohio";45233;722;"2020-09-05";356107;"2020-07-05";385410;"Cancel";18847;"Right Value LLC";5.0;62;0
"0Lg8SvahGE";"6417 Lakeview Dr";"Patricia Davis";"Rental";2;0;"N";"Y";3.433;"Dayton";"Ohio";45201;2630;"2020-11-13";284876;"2020-02-06";296257;"Pending";23092;"High Value LLC";8.0;281;0
"0LNB7exutR";"8448 Maple Ave";"Jennifer Miller";"Residential";4;0;"N";"Y";3.036;"Akron";"Ohio";45230;1964;"2020-01-15";297850;"2020-09-13";451974;"Cancel";16154;"M&M Brokerage";3.2;242;0
"0Mm6k7UYFq";"3886 Pine Ln";"Michael Johnson";"Rental";2;1;"Y";"Y";0.957;"Dayton";"Ohio";45230;2366;"2021-01-26";68303;"2021-01-08";271287;"Sold";16154;"True Value LLC";8.0;18;21703
"0mpwtfoyf7";"2227 Sunset Blvd";"William Johnson";"Residential";2;1;"N";"N";5.255;"Toledo";"Ohio";45216;2104;"2020-05-29";54783;"2020-10-07";430248;"Sold";18840;"True Value LLC";3.2;131;13768
"0N1yhX53YU";"5017 Cedar Rd";"Linda Smith";"";1;3;"Y";"N";7.864;"Dayton";"Ohio";45213;597;"2020-09-11";118414;"2020-12-01";329032;"Expire";18839;"High Value LLC";5.0;81;0
"0N28G5oBII";"4328 Oak St";"Patricia Smith";"";4;0;"N";"N";1.625;"Toledo";"Ohio";45224;492;"2020-01-13";111152;"2020-07-17";335603;"Pending";20556;"M&M Brokerage";5.0;186;0
"0nsNlRG9yY";"1930 Sunset Blvd";"Patricia Davis";"Land";2;3;"N";"N";7.734;"Akron";"Ohio";45222;2606;"2020-06-06";264549;"2020-10-28";361979;"Sold";17393;"High Value LLC";4.0;144;14479
"0O3eli9ZHy";"1257 Sunset Blvd";"James Anderson";"Rental";5;0;"N";"Y";4.868;"Cincinnati";"Ohio";45211;642;"2020-04-02";396890;"2020-04-18";219449;"Pending";21234;"High Value LLC";8.0;16;0
"0o9fJJWKsA";"375 Main St";"Michael Brown";"Rental";5;3;"N";"N";9.288;"Akron";"Ohio";45220;2715;"2020-07-21";262060;"2020-11-13";193198;"Cancel";23090;"High Value LLC";8.0;115;0
"0om9ffQTd2";"3902 Oak St";"James Miller";"Residential";3;1;"Y";"N";9.107;"Columbus";"Ohio";45203;2080;"2020-02-12";188073;"2020-10-02";61228;"Cancel";18835;"Right Value LLC";3.2;233;0
"0Omwpn7ObQ";"5632 Sunset Blvd";"Elizabeth Johnson";"Residential";4;0;"N";"N";9.535;"Toledo";"Ohio";45218;654;"2020-03-09";193703;"2020-04-16";441907;"Pending";12561;"True Value LLC";3.2;38;0
"0p7g4wp3Le";"5988 Elm St";"Jennifer Wilson";"Rental";4;4;"Y";"N";0.942;"Akron";"Ohio";45204;2413;"2020-08-18";211839;"2020-01-17";375279;"Pending";18835;"Real Point LLC";8.0;214;0
"0pfl6YcVTD";"7275 Cedar Rd";"Robert Thomas";"Residential";2;2;"N";"N";4.41;"Cincinnati";"Ohio";45229;315;"2020-06-28";35563;"2020-09-08";397656;"Expire";18845;"M&M Brokerage";3.2;72;0
"0Qmmlb3tHS";"2268 Cedar Rd";"Elizabeth Johnson";"Residential";3;0;"Y";"N";6.37;"Toledo";"Ohio";45221;365;"2020-01-11";62897;"2020-10-16";374658;"Cancel";14132;"True Value LLC";3.2;279;0
"0QMvnuT1bw";"3922 Elm St";"Patricia Miller";"";2;3;"N";"N";5.742;"Columbus";"Ohio";45228;2204;"2021-01-23";492384;"2020-12-26";134861;"Expire";23091;"Right Value LLC";5.0;28;0
"0Rh3ULoLKh";"4460 Sunset Blvd";"Jennifer Smith";"Rental";4;1;"Y";"N";5.692;"Cincinnati";"Ohio";45232;1581;"2020-08-23";248410;"2020-11-25";383749;"Cancel";18847;"M&M Brokerage";8.0;94;0
"0rnKZ55oKK";"1776 Cedar Rd";"James Lee";"Residential";3;0;"Y";"Y";2.392;"Dayton";"Ohio";45213;771;"2020-07-09";69514;"2020-07-28";338451;"Cancel";18839;"High Value LLC";3.2;19;0
"0ryisBmwEq";"8906 Lakeview Dr";"Elizabeth Anderson";"Residential";2;2;"N";"N";1.134;"Dayton";"Ohio";45234;1522;"2020-08-25";437960;"2020-03-15";96209;"Pending";18848;"High Value LLC";3.2;163;0
"0Rznzk5bYJ";"2638 Elm St";"Robert Smith";"Rental";4;0;"Y";"N";3.355;"Dayton";"Ohio";45222;1016;"2020-01-05";129458;"2020-11-21";424457;"Expire";17393;"High Value LLC";8.0;321;0
"0S9qMH9Iq4";"6587 Main St";"Jennifer Thomas";"Commercial";5;0;"N";"Y";2.461;"Dayton";"Ohio";45201;142;"2020-01-17";200448;"2020-10-19";403376;"Sold";23092;"High Value LLC";5.0;276;20169
"0sjN4u3OF9";"1887 Maple Ave";"James Anderson";"Land";4;4;"N";"Y";4.566;"Dayton";"Ohio";45213;841;"2020-09-03";310745;"2020-06-26";221277;"Sold";18839;"High Value LLC";4.0;69;8851
"0sUJEbkphv";"3865 Cedar Rd";"William Lee";"Rental";2;4;"N";"Y";5.622;"Cincinnati";"Ohio";45218;2688;"2020-09-21";80340;"2020-02-15";188685;"Expire";12561;"Willam Reality";8.0;219;0
"0TGhmglcr2";"7682 Sunset Blvd";"Robert Miller";"Land";5;1;"N";"Y";9.052;"Dayton";"Ohio";45220;448;"2020-01-15";280941;"2020-12-03";272945;"Pending";23090;"M&M Brokerage";4.0;323;0
"0ugtYPOcK8";"4111 Elm St";"Jennifer Anderson";"Residential";1;1;"N";"Y";5.129;"Dayton";"Ohio";45214;1345;"2020-05-16";53480;"2020-04-08";211552;"Cancel";18839;"M&M Brokerage";3.2;38;0
"0UM7tqot3b";"4444 Elm St";"Jennifer Anderson";"";2;2;"N";"N";4.442;"Cincinnati";"Ohio";45227;116;"2020-12-10";301676;"2020-07-14";302428;"Pending";26382;"M&M Brokerage";5.0;149;0
"0UOeuWU6Hu";"653 Pine Ln";"Linda Taylor";"Rental";0;4;"Y";"N";9.785;"Toledo";"Ohio";45230;107;"2020-01-17";27132;"2021-01-26";311985;"Sold";16154;"Right Value LLC";8.0;375;24959
"0vEr8EVdH8";"3796 Sunset Blvd";"Elizabeth Wilson";"Land";4;3;"N";"Y";4.55;"Akron";"Ohio";45209;1057;"2020-02-07";254433;"2021-01-09";111722;"Cancel";16146;"Right Value LLC";4.0;337;0
"0vGJb3cEpw";"3297 Cedar Rd";"William Lee";"Land";0;4;"Y";"N";0.85;"Columbus";"Ohio";45223;676;"2020-01-24";20849;"2020-11-21";445733;"Expire";14132;"Willam Reality";4.0;302;0
"0vI9GpMsNM";"2168 Cedar Rd";"Patricia Taylor";"Residential";5;3;"Y";"N";4.06;"Akron";"Ohio";45215;492;"2020-03-21";104053;"2021-01-08";34421;"Expire";16148;"True Value LLC";3.2;293;0
"0Vmb7wAMEf";"3032 Lakeview Dr";"John Thomas";"Rental";4;4;"N";"N";6.784;"Cincinnati";"Ohio";45212;2395;"2020-12-14";78865;"2020-11-04";175447;"Expire";18838;"True Value LLC";8.0;40;0
"0W2Tjep429";"865 Cedar Rd";"John Brown";"Rental";1;1;"Y";"N";4.97;"Akron";"Ohio";45224;2124;"2020-08-16";145913;"2020-09-25";124594;"Expire";20556;"Right Value LLC";8.0;40;0
"0WAvulKZTF";"2605 Pine Ln";"Jennifer Davis";"Rental";4;0;"Y";"Y";0.878;"Dayton";"Ohio";45209;2786;"2020-07-11";236056;"2020-02-09";25033;"Expire";16146;"Right Value LLC";8.0;153;0
"0WBCXasYvc";"820 Pine Ln";"Robert Thomas";"Land";5;3;"Y";"Y";4.47;"Toledo";"Ohio";45221;2924;"2020-05-13";427124;"2020-07-02";370380;"Expire";14132;"M&M Brokerage";4.0;50;0
"0Wnhr2wnbs";"358 Cedar Rd";"James Thomas";"Residential";2;3;"N";"Y";3.333;"Akron";"Ohio";45230;616;"2020-09-14";367360;"2020-03-27";143866;"Cancel";16154;"M&M Brokerage";3.2;171;0
"0Y3fn3hy6S";"5467 Lakeview Dr";"John Miller";"";4;3;"Y";"Y";8.194;"Cincinnati";"Ohio";45233;1763;"2020-10-19";279226;"2020-02-28";433484;"Expire";18847;"Real Point LLC";5.0;234;0
"0Y3Qxo3j8r";"8248 Cedar Rd";"John Miller";"Rental";3;3;"N";"N";4.491;"Akron";"Ohio";45231;2625;"2020-12-01";223215;"2020-03-17";373013;"Cancel";18846;"Real Point LLC";8.0;259;0
"0YFQk2pPcU";"8986 Elm St";"James Thomas";"Land";5;2;"Y";"Y";0.426;"Columbus";"Ohio";45232;2342;"2020-09-07";224115;"2020-10-31";345800;"Pending";18847;"M&M Brokerage";4.0;54;0
"0yGYUi7dBX";"4638 Lakeview Dr";"Jennifer Anderson";"";4;3;"N";"Y";2.221;"Columbus";"Ohio";45202;2188;"2020-01-16";271293;"2020-05-30";428534;"Cancel";18834;"M&M Brokerage";5.0;135;0
"0Yipq4u1m6";"4304 Elm St";"James Davis";"Land";5;3;"N";"Y";0.622;"Dayton";"Ohio";45215;2011;"2020-06-01";175507;"2020-02-11";55875;"Pending";16148;"Real Point LLC";4.0;111;0
"0ynyiC9Xs1";"174 Lakeview Dr";"Robert Anderson";"Rental";0;1;"N";"N";0.234;"Akron";"Ohio";45205;1714;"2020-12-07";222436;"2020-05-16";349694;"Sold";15068;"Real Point LLC";8.0;205;27976
"0YVhgMV5Nf";"5594 Maple Ave";"John Miller";"Rental";2;1;"Y";"N";8.227;"Cincinnati";"Ohio";45224;1656;"2020-09-05";479646;"2020-03-27";71403;"Expire";20556;"Real Point LLC";8.0;162;0
"10v8tbEkbe";"5062 Oak St";"William Brown";"Commercial";2;4;"N";"N";2.551;"Toledo";"Ohio";45214;1313;"2020-01-24";116387;"2020-02-11";187748;"Pending";18839;"Richa & Sons";5.0;18;0
"10YPChdH7S";"5443 Cedar Rd";"John Taylor";"Residential";1;4;"Y";"N";6.007;"Cincinnati";"Ohio";45203;1020;"2020-01-27";374280;"2021-01-03";499546;"Sold";18835;"True Value LLC";3.2;342;15985
"12jm34szCN";"5856 Elm St";"Linda Lee";"Residential";5;4;"N";"Y";8.213;"Columbus";"Ohio";45212;717;"2020-10-27";114197;"2020-06-17";386100;"Sold";18838;"Real Point LLC";3.2;132;12355
"12OhN1nK5i";"4653 Lakeview Dr";"Patricia Lee";"Commercial";5;2;"Y";"N";5.238;"Columbus";"Ohio";45221;1963;"2020-10-13";21702;"2020-03-15";53008;"Expire";14132;"True Value LLC";5.0;212;0
"13pbnh0d5F";"9082 Oak St";"Michael Taylor";"Commercial";5;1;"Y";"Y";6.993;"Akron";"Ohio";45207;1438;"2020-05-17";224978;"2021-01-10";147764;"Sold";16145;"Willy Nilly Brokerage";5.0;238;7388
"13pbnh0d5F";"9082 Oak St";"Michael Taylor";"Commercial";5;1;"Y";"Y";6.993;"Akron";"Ohio";45207;1438;"2020-05-17";224978;"2021-01-10";147764;"Sold";16145;"Real Point LLC";5.0;238;7388
"13XHuQoUKW";"7511 Cedar Rd";"Patricia Davis";"Rental";3;1;"N";"N";6.015;"Cincinnati";"Ohio";45230;911;"2020-12-31";158185;"2020-09-21";76081;"Cancel";16154;"High Value LLC";8.0;101;0
"146HOymYIJ";"8212 Sunset Blvd";"John Lee";"Commercial";5;4;"N";"N";6.11;"Toledo";"Ohio";45230;2075;"2020-09-15";217994;"2020-05-19";350302;"Expire";16154;"Real Point LLC";5.0;119;0
"14YC4CrVWN";"8522 Pine Ln";"John Lee";"Residential";5;4;"Y";"N";7.655;"Columbus";"Ohio";45211;902;"2020-05-01";23596;"2020-12-31";325699;"Cancel";21234;"Real Point LLC";3.2;244;0
"150eFHOmuL";"5700 Oak St";"Mary Lee";"Commercial";1;3;"Y";"Y";8.63;"Dayton";"Ohio";45204;481;"2021-01-16";89883;"2020-08-06";297206;"Expire";18835;"Right Value LLC";5.0;163;0
"15cnSHCc3M";"8359 Main St";"John Lee";"Rental";2;3;"N";"N";4.869;"Dayton";"Ohio";45203;2171;"2021-01-08";19141;"2020-08-24";174796;"Pending";18835;"Real Point LLC";8.0;137;0
"15D5vPpLyS";"9635 Sunset Blvd";"Mary Wilson";"Commercial";4;3;"Y";"Y";6.866;"Cincinnati";"Ohio";45215;2958;"2020-02-18";412805;"2021-01-20";203345;"Pending";16148;"M&M Brokerage";5.0;337;0
"16ajDVzNNd";"8479 Oak St";"Michael Davis";"Commercial";4;2;"N";"N";1.473;"Cincinnati";"Ohio";45233;121;"2020-08-18";440031;"2020-09-10";194254;"Expire";18847;"High Value LLC";5.0;23;0
"16MfAjHcmK";"7280 Main St";"James Smith";"Commercial";4;3;"Y";"N";8.007;"Toledo";"Ohio";45214;386;"2020-03-22";379341;"2020-11-30";350709;"Pending";18839;"High Value LLC";5.0;253;0
"18Cxj6X5lT";"742 Maple Ave";"Elizabeth Davis";"Commercial";2;1;"Y";"Y";3.404;"Toledo";"Ohio";45220;848;"2020-10-10";400259;"2020-11-20";384637;"Sold";23090;"High Value LLC";5.0;41;19232
"1afUMoIp0b";"8167 Pine Ln";"Elizabeth Miller";"Commercial";1;1;"N";"Y";6.321;"Toledo";"Ohio";45212;1607;"2020-10-23";82331;"2020-02-28";361003;"Cancel";18838;"True Value LLC";5.0;238;0
"1ah7B9E3Dt";"8649 Pine Ln";"William Taylor";"Commercial";5;0;"Y";"N";3.28;"Columbus";"Ohio";45211;1061;"2020-07-19";132707;"2020-10-01";183480;"Expire";21234;"Richa & Sons";5.0;74;0
"1Ak1hVw4Ss";"9513 Lakeview Dr";"Patricia Taylor";"Land";3;3;"N";"Y";6.038;"Cincinnati";"Ohio";45206;1604;"2020-12-31";106830;"2020-03-26";167485;"Expire";20548;"True Value LLC";4.0;280;0
"1BMdKnCZRw";"7868 Cedar Rd";"Mary Miller";"Land";3;2;"Y";"N";8.963;"Akron";"Ohio";45228;1715;"2020-05-21";167274;"2020-09-03";327268;"Sold";23091;"True Value LLC";4.0;105;13091
"1C1HunknD0";"4481 Sunset Blvd";"Michael Brown";"Commercial";0;1;"N";"Y";5.406;"Cincinnati";"Ohio";45226;952;"2020-08-01";323596;"2021-01-09";238338;"Sold";18844;"High Value LLC";5.0;161;11917
"1CO6t8lhH7";"3092 Lakeview Dr";"Linda Johnson";"Residential";2;3;"Y";"Y";2.749;"Columbus";"Ohio";45231;1634;"2021-01-08";287626;"2020-08-01";139019;"Pending";18846;"Right Value LLC";3.2;160;0
"1D1S50pVxL";"3578 Pine Ln";"John Davis";"Rental";5;3;"Y";"Y";0.703;"Toledo";"Ohio";45229;985;"2020-10-12";30016;"2020-11-09";108109;"Pending";18845;"Right Value LLC";8.0;28;0
"1dShSZlLeq";"4936 Maple Ave";"Patricia Taylor";"Residential";2;4;"N";"Y";7.253;"Columbus";"Ohio";45224;235;"2020-04-06";372332;"2020-04-29";426273;"Cancel";20556;"True Value LLC";3.2;23;0
"1dzuL4i3L3";"3969 Pine Ln";"Linda Lee";"";1;3;"Y";"N";0.324;"Cincinnati";"Ohio";45232;2070;"2021-01-19";64014;"2020-05-14";229481;"Expire";18847;"Real Point LLC";5.0;250;0
"1fc8b5PzMM";"2534 Oak St";"John Miller";"Rental";0;1;"N";"Y";0.874;"Columbus";"Ohio";45212;1989;"2020-05-20";250385;"2020-02-20";415049;"Sold";18838;"Real Point LLC";8.0;90;33204
"1FlLrzMxvL";"3664 Pine Ln";"Jennifer Brown";"Residential";2;1;"Y";"Y";2.75;"Dayton";"Ohio";45205;1387;"2020-09-25";34261;"2020-04-26";100443;"Expire";15068;"M&M Brokerage";3.2;152;0
"1Ft0fEc9Oy";"2839 Main St";"Patricia Taylor";"Residential";1;2;"N";"N";5.308;"Dayton";"Ohio";45230;2331;"2020-07-22";237284;"2020-04-26";15648;"Cancel";16154;"True Value LLC";3.2;87;0
"1hARGaaiS9";"8377 Cedar Rd";"Linda Taylor";"Land";1;4;"Y";"N";4.021;"Dayton";"Ohio";45217;2619;"2020-06-04";24075;"2020-05-30";417809;"Sold";18840;"Right Value LLC";4.0;5;16712
"1Hn8fb73M6";"6533 Maple Ave";"John Taylor";"";3;1;"N";"Y";9.869;"Toledo";"Ohio";45219;588;"2020-05-15";141346;"2020-05-26";207339;"Pending";18841;"True Value LLC";5.0;11;0
"1HN9i2jsQ1";"7775 Lakeview Dr";"Patricia Miller";"Land";2;0;"N";"Y";3.847;"Akron";"Ohio";45212;2722;"2020-07-27";235123;"2020-07-10";76899;"Cancel";18838;"Right Value LLC";4.0;17;0
"1IOp94FShF";"9705 Sunset Blvd";"Mary Smith";"Commercial";2;3;"N";"Y";0.062;"Akron";"Ohio";45233;2346;"2020-03-06";192183;"2020-06-29";190616;"Sold";18847;"M&M Brokerage";5.0;115;9531
"1jGaO7Orya";"9912 Lakeview Dr";"Robert Smith";"Commercial";1;3;"Y";"Y";1.707;"Dayton";"Ohio";45221;711;"2020-09-16";292834;"2020-08-09";98401;"Pending";14132;"High Value LLC";5.0;38;0
"1jIx2OOyZO";"4731 Oak St";"John Smith";"Rental";3;1;"N";"Y";4.376;"Dayton";"Ohio";45206;2281;"2020-10-21";360714;"2020-01-14";257528;"Expire";20548;"Right Value LLC";8.0;281;0
"1JyeSv1xYe";"3988 Oak St";"Michael Anderson";"Residential";1;4;"N";"Y";8.589;"Columbus";"Ohio";45233;2209;"2020-09-30";329705;"2020-01-08";133848;"Expire";18847;"True Value LLC";3.2;266;0
"1jzWesjtJ7";"7459 Oak St";"Patricia Thomas";"Land";2;1;"Y";"N";4.101;"Columbus";"Ohio";45206;1219;"2021-01-06";499628;"2020-12-20";70748;"Pending";20548;"Right Value LLC";4.0;17;0
"1KsgYQZj7F";"7178 Elm St";"William Davis";"Rental";1;1;"Y";"N";8.041;"Columbus";"Ohio";45211;1080;"2020-05-31";288099;"2020-03-26";203558;"Cancel";21234;"Willam Reality";8.0;66;0
